,A1,A2,A3,A4,A5,A6
2018-01-01,0.8583010468942014,0.2533249800105479,0.5196821289150336,1.074210458306367,1.188138863290728,-0.00416447719585913
2018-01-02,0.3392282907578636,-0.8037608067190097,1.4053766144446398,1.0014234926611045,0.19547489471851517,-0.5995975443638614
2018-01-03,-0.14831922136746095,-0.05723725062704194,0.15006170265544108,0.7009875036422778,-0.33207059378415477,-0.30457971892711005
2018-01-04,0.44827461909600586,0.07254596036621963,-0.04749323855445688,-0.5615318099434118,0.17073539417053976,0.10475159324901184
2018-01-05,0.21113048814124388,-0.696187767968242,0.3416403483081505,-0.42765345049358644,-1.4657597120384098,-0.3590284035946169
2018-01-08,-0.24596962055039961,0.16693952510524465,0.0006295953602485746,0.3912879480138849,0.8608992280683887,-0.2714143303287322
2018-01-09,0.03422888641364166,-0.7086219776767565,0.8094380366619648,0.706915469432581,-0.46594449615291933,-0.21903842436734772
2018-01-10,0.43858817800457883,0.7371771957723027,-0.5067408085135992,0.0023072692775355447,0.22888578724183734,0.38060172973108747
2018-01-11,-0.5090681949641644,-0.28679736341027245,0.18822588759846057,0.3426032800043944,-0.32527053159332114,-0.09162215772749621
2018-01-12,0.9614489946918855,-0.6286379751383491,0.4954361806283115,1.0886940661946347,0.12998006300690298,1.3736195245390637
2018-01-15,0.003921450622895956,-1.0921103961255314,1.1907431818202145,0.4685094680072777,-1.04785967818161,-0.4513194877916648
2018-01-16,-0.28112184297970066,0.012959998949057664,-0.057402490492891166,-0.028488506717904687,0.6032003954135431,-0.05187441305433123
2018-01-17,0.5580925557345084,0.6834076892284533,-0.4341025131247038,-0.28458233796023075,0.22302409453866484,0.15258560164210894
2018-01-18,0.7352035635450579,-0.01739481545397883,0.07217897840602167,-0.6776625973746081,0.28017377331968635,0.42117281148549557
2018-01-19,-0.21786594646578544,-0.8069335617738237,0.5416270725188652,2.2383349551749285,0.5047885558115306,1.6466402160006524
2018-01-22,-0.4452006220347656,0.9151398439066467,-0.9524439846811839,-0.4407893588925894,0.8060861734573751,-0.15733022470928268
2018-01-23,0.35308936423201326,0.5352935437051302,-0.35073306203893845,-0.23127758361836076,0.8265198623309642,-0.058005551492405154
2018-01-24,0.37771260711253,0.9317821203333789,-0.5029499311234775,0.3186546965496259,1.0807320941592986,0.10413354729170682
2018-01-25,0.0951650498579739,-0.0444005102266892,-0.12429693927973477,0.5211106373905264,0.35221988772970714,0.7399503811329954
2018-01-26,0.40450361905241483,0.368106437156276,0.08223781308321133,0.7394610914065308,1.9207037933676405,0.4199170399711557
2018-01-29,0.026930296949040575,0.34496021505795327,-0.7167706381266666,-2.0992502545734184,-0.28060682719654406,0.08751117927427018
2018-01-30,-0.23728537015135884,-0.24084775827730825,-0.07450286446481262,0.03731907420352655,-0.23122255573255504,0.3489286779440739
2018-01-31,0.5047895868559104,0.7572668990063484,-0.311902490430399,0.6307271398893467,1.512806324477874,0.3869461813749073
2018-02-01,0.2138230064833886,0.2750440632516503,-0.09600960059651961,0.183877408960088,0.6939967329248505,0.15486724144522923
2018-02-02,-0.1743036511302259,-0.4490869934833142,0.4508739031638773,-1.2315538004118611,-0.5220435119690511,-0.7919570948549778
2018-02-05,-0.36498026869064615,0.41057416806373037,-0.2691214927870407,-0.7447064933821023,-0.5008467238572868,-0.7855037379089177
2018-02-06,-0.4135690009751874,-0.7168975327730748,0.6286106486120394,1.0775496642817117,-0.7246834663240902,0.20018668331542086
2018-02-07,0.4023893714413496,-0.7427191804377236,0.5951842445682155,-1.3464419304716604,-2.102475530154302,-1.0077546187638393
2018-02-08,0.8086282474753445,-0.6529774750474514,0.6250778994279332,0.1031819867827215,-0.8691410375870465,0.49852007558666594
2018-02-09,0.6565458916062836,-0.2902395595071431,0.17349550361145874,0.07797705010148834,-0.13634876341030958,0.5429050607532797
2018-02-12,-0.0963642340453843,-0.49377326466018456,0.4211467562254458,1.5765803528249116,1.0161517666805409,0.7811901781238346
2018-02-13,0.5742979283312398,0.45888774820851086,-0.18781256191161086,0.6380744064766342,0.8909003770250239,0.7256944990684753
2018-02-14,-0.04788706448328015,0.7472060109526018,-0.9825143256147865,-2.3182174324262808,-0.5168532879248456,-0.9934498458020087
2018-02-15,-0.11303474608641416,-0.35488303343609806,0.5088281609690939,0.5916014856744547,0.09537206574423661,0.08508196484790585
2018-02-16,0.7121247502658627,0.1676212229978488,-0.738930776398123,-1.346918959459346,0.8855149177329764,1.4675659576580924
2018-02-19,0.33242639159325565,0.03174985752186067,-0.14871946819482298,-1.1161281340345428,-1.4742505609892596,-0.2785590664336421
2018-02-20,-0.27308415792531837,0.1784981828476954,-0.17622700005239528,0.12415938587075556,-0.10931340148307547,-0.11349874714647878
2018-02-21,-0.4921948566386319,-0.5764912300831694,0.2298760335986905,1.0679617136437416,0.4158406281132064,0.7528416901705245
2018-02-22,-0.5308198748443483,0.8648142373169208,-0.7053698467644076,-0.3463229930836586,1.0848038659381782,-0.2897021432412147
2018-02-23,0.29580480361365613,1.1899593527663959,-1.4418524238440056,-1.084624051840028,0.5473853458754795,0.5274281874627442
2018-02-26,-0.1293009435893936,0.3436357788213921,0.07808861296385285,0.17651270159917798,0.6787632596836479,-0.28770209370395516
2018-02-27,-0.4245032675772498,0.17022999976559675,-0.5289645145507333,0.8142456662116674,-0.4874100039871466,1.0434156307402274
2018-02-28,-0.021524712416849952,-0.04066477849973766,0.042018524099067533,-0.6672067408274546,-0.3172595875556802,-0.43755768535428463
2018-03-01,-0.1293115590368695,-0.27450659486349765,0.3063873818650652,-1.450021647940474,-1.0000056626962968,-0.7997166153618498
2018-03-02,0.3520693297637086,-0.07523517838569345,0.17154475821066567,-0.5961828720641724,-0.4396265102927013,-0.056737066715177545
2018-03-05,-0.13246598260461998,-0.2548670960822572,-0.030908364704339924,0.06257273581301778,0.46986198092479176,0.5387359563286891
